time,location,unique_id
07:00:00,dairy,0.6
07:00:00,drinks,0.6
07:00:00,fruit,0.8
07:01:00,checkout,0.4
07:01:00,dairy,1.2
07:01:00,drinks,0.6
07:01:00,fruit,0.8
07:01:00,spices,0.2
07:02:00,checkout,1.0
07:02:00,dairy,1.2
07:02:00,drinks,0.2
07:02:00,fruit,0.8
07:02:00,spices,0.4
07:03:00,checkout,0.2
07:03:00,dairy,2.8
07:03:00,drinks,0.6
07:03:00,fruit,1.0
07:03:00,spices,0.4
07:04:00,checkout,0.4
07:04:00,dairy,3.6
07:04:00,drinks,0.8
07:04:00,fruit,1.2
07:04:00,spices,0.8
07:05:00,checkout,1.4
07:05:00,dairy,3.0
07:05:00,drinks,1.4
07:05:00,fruit,0.4
07:05:00,spices,0.2
07:06:00,checkout,1.2
07:06:00,dairy,2.8
07:06:00,drinks,1.4
07:06:00,fruit,1.6
07:06:00,spices,0.4
07:07:00,checkout,0.2
07:07:00,dairy,3.2
07:07:00,drinks,1.6
07:07:00,fruit,2.0
07:07:00,spices,0.8
07:08:00,checkout,1.0
07:08:00,dairy,3.4
07:08:00,drinks,1.8
07:08:00,fruit,1.8
07:08:00,spices,1.0
07:09:00,checkout,1.8
07:09:00,dairy,2.2
07:09:00,drinks,2.0
07:09:00,fruit,1.4
07:09:00,spices,1.2
07:10:00,checkout,1.0
07:10:00,dairy,1.6
07:10:00,drinks,1.8
07:10:00,fruit,2.4
07:10:00,spices,1.2
07:11:00,checkout,1.2
07:11:00,dairy,1.6
07:11:00,drinks,2.0
07:11:00,fruit,2.6
07:11:00,spices,1.0
07:12:00,checkout,0.8
07:12:00,dairy,2.0
07:12:00,drinks,2.2
07:12:00,fruit,4.4
07:12:00,spices,1.6
07:13:00,checkout,1.2
07:13:00,dairy,2.6
07:13:00,drinks,3.2
07:13:00,fruit,4.0
07:13:00,spices,1.0
07:14:00,checkout,2.2
07:14:00,dairy,3.4
07:14:00,drinks,3.0
07:14:00,fruit,4.4
07:14:00,spices,0.4
07:15:00,checkout,1.8
07:15:00,dairy,3.0
07:15:00,drinks,2.6
07:15:00,fruit,3.2
07:15:00,spices,2.4
07:16:00,checkout,1.6
07:16:00,dairy,3.6
07:16:00,drinks,2.4
07:16:00,fruit,3.0
07:16:00,spices,2.0
07:17:00,checkout,2.2
07:17:00,dairy,2.6
07:17:00,drinks,3.0
07:17:00,fruit,2.4
07:17:00,spices,2.6
